league_name,season_year,G-_vs_G0,G-_vs_G+,G0_vs_G+
bundesliga,2006,0.2353,1.0000,0.7059
bundesliga,2007,,,0.4444
bundesliga,2008,,,0.3922
bundesliga,2009,0.6107,0.4000,0.3048
bundesliga,2010,0.1703,0.8000,0.7912
bundesliga,2011,0.3333,0.3333,0.7000
bundesliga,2012,0.0190,0.4000,0.7036
bundesliga,2013,0.8396,1.0000,0.3648
bundesliga,2014,0.5495,0.8000,0.5989
bundesliga,2016,0.9333,0.6667,0.9333
bundesliga,2017,0.9451,1.0000,0.9451
bundesliga,2018,0.8235,1.0000,1.0000
bundesliga,2022,,,0.1111
bundesliga,2023,0.4484,0.1000,0.1486
bundesliga,2024,0.2767,0.6667,0.8226
campeonatobrasileiroseriea,2007,0.2222,0.6667,0.7485
campeonatobrasileiroseriea,2009,1.0000,0.7000,0.8588
campeonatobrasileiroseriea,2010,,,0.8526
campeonatobrasileiroseriea,2011,0.7341,0.7857,0.1037
campeonatobrasileiroseriea,2012,0.6550,1.0000,0.5556
campeonatobrasileiroseriea,2013,0.7778,0.6667,0.1871
campeonatobrasileiroseriea,2014,0.6544,0.8000,0.2353
campeonatobrasileiroseriea,2015,0.6316,1.0000,0.3158
campeonatobrasileiroseriea,2016,0.6550,1.0000,0.3333
campeonatobrasileiroseriea,2017,0.5490,0.6667,0.3268
campeonatobrasileiroseriea,2018,0.2353,1.0000,0.0330
campeonatobrasileiroseriea,2019,0.4211,1.0000,0.7778
campeonatobrasileiroseriea,2022,0.2000,,
campeonatobrasileiroserieb,2010,0.9412,1.0000,0.9412
campeonatobrasileiroserieb,2011,0.8000,0.8571,0.4773
campeonatobrasileiroserieb,2012,,,0.7000
campeonatobrasileiroserieb,2013,0.0517,0.7302,0.0777
campeonatobrasileiroserieb,2014,0.2393,0.2286,0.8706
campeonatobrasileiroserieb,2015,0.4000,,
campeonatobrasileiroserieb,2016,,,0.3000
campeonatobrasileiroserieb,2017,0.2105,1.0000,0.5263
campeonatobrasileiroserieb,2018,0.9529,1.0000,0.9529
campeonatobrasileiroserieb,2019,0.6316,1.0000,0.8421
campeonatobrasileiroserieb,2022,0.1871,1.0000,0.5556
campeonatobrasileiroserieb,2023,0.2771,0.5333,0.7000
campeonatobrasileiroserieb,2024,0.6405,0.6667,0.6405
challengerproleague,2006,0.8235,1.0000,0.1176
challengerproleague,2007,1.0000,0.4000,0.1971
challengerproleague,2008,0.3676,0.3333,0.2941
challengerproleague,2009,0.4140,0.0667,0.0879
challengerproleague,2010,0.9412,1.0000,0.3750
challengerproleague,2011,0.5000,1.0000,0.8235
challengerproleague,2012,0.1250,0.6667,1.0000
challengerproleague,2014,0.4167,0.6667,0.8167
challengerproleague,2015,0.8000,1.0000,0.3048
challengerproleague,2022,0.8889,0.8000,0.5167
challengerproleague,2023,0.2286,0.6667,0.4286
championship,2004,0.2727,0.6667,0.3320
championship,2005,0.5217,1.0000,0.3478
championship,2006,0.0299,0.4000,0.4000
championship,2007,0.6506,0.4000,0.5333
championship,2008,0.3810,0.5000,0.7634
championship,2009,1.0000,1.0000,0.9091
championship,2010,0.6347,1.0000,0.7619
championship,2011,0.4638,,
championship,2012,0.4545,0.6667,0.5692
championship,2013,0.3810,0.5000,0.8300
championship,2014,0.6521,0.1333,0.1263
championship,2015,0.0857,0.8000,0.0688
championship,2016,1.0000,0.6667,0.0346
championship,2017,,,0.9565
championship,2018,1.0000,,
championship,2022,0.4707,0.7000,0.4707
championship,2023,0.8696,1.0000,0.4348
championship,2024,0.7246,,
j1league,2005,0.2637,0.1333,0.3165
j1league,2006,1.0000,,
j1league,2007,0.8000,0.2000,0.6857
j1league,2008,0.4396,0.7857,0.9371
j1league,2009,0.3000,1.0000,0.2667
j1league,2010,,,0.3333
j1league,2011,0.9546,0.9048,1.0000
j1league,2012,0.8235,1.0000,0.8750
j1league,2013,0.3529,1.0000,0.3529
j1league,2014,0.9333,0.6667,0.3333
j1league,2017,0.9000,0.2000,0.4762
j1league,2018,,,0.6405
j1league,2019,0.7036,0.8000,0.1714
j1league,2021,0.3158,1.0000,0.8421
j1league,2022,1.0000,0.7000,0.6330
j1league,2023,0.0604,0.1143,0.9495
j1league,2024,0.1713,1.0000,0.8235
j2league,2010,0.8000,1.0000,0.9000
j2league,2011,0.6176,1.0000,0.9118
j2league,2012,0.4762,1.0000,0.2857
j2league,2013,0.9524,1.0000,0.7619
j2league,2014,0.8751,1.0000,1.0000
j2league,2015,0.2105,0.6667,0.8526
j2league,2016,,,0.8182
j2league,2017,0.9474,1.0000,0.1684
j2league,2018,0.4975,1.0000,0.4690
j2league,2019,0.5000,0.6667,0.3429
j2league,2021,0.5593,1.0000,0.7926
j2league,2022,0.5158,1.0000,0.0947
j2league,2023,0.0632,0.3333,0.9474
j2league,2024,0.5263,1.0000,0.4211
jupilerproleague,2008,0.3529,1.0000,0.4706
jupilerproleague,2010,0.6042,0.4000,0.3727
jupilerproleague,2011,0.5363,1.0000,0.6154
jupilerproleague,2012,0.5333,1.0000,0.5333
jupilerproleague,2013,0.0513,0.4000,0.8846
jupilerproleague,2014,0.3077,0.8000,0.6593
jupilerproleague,2015,0.2667,1.0000,0.2667
jupilerproleague,2016,0.9231,0.3333,0.3516
jupilerproleague,2017,0.6000,,
jupilerproleague,2018,0.5714,0.6667,0.8571
jupilerproleague,2022,0.6107,1.0000,0.1143
jupilerproleague,2023,0.5363,0.5000,0.1538
jupilerproleague,2024,1.0000,0.8000,0.2253
laliga,2001,0.2441,0.4000,1.0000
laliga,2005,,,0.9211
laliga,2006,0.8235,0.8000,0.8235
laliga,2007,0.8421,1.0000,0.1053
laliga,2008,0.4773,0.1143,0.6107
laliga,2009,,,0.5456
laliga,2010,0.5363,1.0000,0.1946
laliga,2011,,,0.1263
laliga,2012,0.0702,0.6667,0.1111
laliga,2013,0.4773,0.8571,0.9000
laliga,2014,0.2000,,
laliga,2015,0.7485,0.6667,0.8889
laliga,2016,,,0.1000
laliga,2017,,,0.3000
laliga,2021,0.1404,1.0000,0.2222
laliga,2022,0.6316,1.0000,0.2105
laliga,2023,0.3676,0.4000,1.0000
laliga,2024,0.8889,0.6667,0.5731
laliga2,2007,0.1000,0.6667,0.4667
laliga2,2008,1.0000,0.6667,0.0857
laliga2,2009,0.0127,0.4000,0.5556
laliga2,2010,0.9654,0.4000,0.2222
laliga2,2011,,,0.9671
laliga2,2012,0.9412,0.5333,0.8198
laliga2,2013,0.7714,0.6667,0.7000
laliga2,2014,0.5739,1.0000,0.7980
laliga2,2015,0.2727,,
laliga2,2016,0.7377,1.0000,0.5965
laliga2,2017,0.2857,1.0000,0.2857
laliga2,2018,,,0.1325
laliga2,2021,0.3053,0.8000,0.9474
laliga2,2022,,,0.5455
laliga2,2023,0.1111,0.4000,0.9654
laliga2,2024,0.4762,1.0000,0.5714
ligaportugal,1996,0.7676,1.0000,0.8000
ligaportugal,1997,0.5000,0.6667,0.8235
ligaportugal,1998,0.2311,1.0000,0.2026
ligaportugal,1999,0.7000,0.3333,0.2667
ligaportugal,2000,0.0036,0.2000,0.2286
ligaportugal,2001,1.0000,0.5714,0.4409
ligaportugal,2004,,,1.0000
ligaportugal,2005,,,0.1176
ligaportugal,2006,0.8167,,
ligaportugal,2007,0.2857,0.6667,0.3048
ligaportugal,2008,1.0000,1.0000,0.3516
ligaportugal,2009,0.3333,,
ligaportugal,2010,,,1.0000
ligaportugal,2011,0.3077,0.5000,0.5363
ligaportugal,2012,0.5714,0.6667,1.0000
ligaportugal,2013,0.6857,0.6667,0.1429
ligaportugal,2014,0.7143,1.0000,0.4773
ligaportugal,2015,0.3000,0.5000,0.2667
ligaportugal,2016,0.2964,0.4000,0.9333
ligaportugal,2017,0.1000,0.3333,0.7000
ligaportugal,2018,0.3750,0.6667,0.5294
ligaportugal,2021,1.0000,1.0000,1.0000
ligaportugal,2022,0.9412,1.0000,0.9412
ligaportugal,2023,0.1363,0.4000,0.8396
ligaportugal,2024,0.6667,,
ligaportugal2,2007,0.2727,0.2000,0.6923
ligaportugal2,2008,0.8571,1.0000,0.9333
ligaportugal2,2009,0.9333,1.0000,1.0000
ligaportugal2,2010,0.7692,0.8000,0.7692
ligaportugal2,2011,0.9333,0.2000,0.1535
ligaportugal2,2012,0.8096,0.8571,0.4265
ligaportugal2,2013,0.6364,,
ligaportugal2,2014,0.3333,,
ligaportugal2,2015,0.4545,1.0000,0.1581
ligaportugal2,2016,0.3000,0.6667,0.3429
ligaportugal2,2017,,,0.4000
ligaportugal2,2021,0.5000,1.0000,0.2353
ligaportugal2,2022,0.1363,0.7000,0.9451
ligaportugal2,2023,0.8571,1.0000,0.3504
ligaportugal2,2024,0.6000,1.0000,0.3333
ligue1,1990,0.8235,0.8000,0.2941
ligue1,1991,1.0000,0.4000,0.1206
ligue1,1992,0.2017,0.1143,0.2393
ligue1,1993,0.6737,,
ligue1,1994,0.3509,1.0000,0.6667
ligue1,1995,0.9588,0.8000,0.6000
ligue1,1996,0.7778,1.0000,0.2339
ligue1,1997,0.5209,0.8000,0.7912
ligue1,1998,1.0000,1.0000,0.8396
ligue1,1999,0.9333,0.8000,0.7036
ligue1,2000,,,0.7320
ligue1,2001,,,0.0523
ligue1,2002,0.0392,0.2000,0.2353
ligue1,2003,0.7320,1.0000,0.5490
ligue1,2004,0.1871,0.6667,0.5556
ligue1,2005,0.4107,0.8000,0.5000
ligue1,2006,0.5263,1.0000,0.4211
ligue1,2007,,,1.0000
ligue1,2008,1.0000,1.0000,0.8421
ligue1,2009,1.0000,0.8000,0.5735
ligue1,2010,0.5735,0.8000,0.5294
ligue1,2011,0.6737,,
ligue1,2012,0.3603,0.2000,0.3676
ligue1,2013,0.8235,0.4000,0.0270
ligue1,2015,0.1175,,
ligue1,2016,0.9529,0.4000,0.3000
ligue1,2017,0.5556,1.0000,0.7485
ligue1,2018,0.7036,0.0571,0.2454
ligue1,2021,,,0.7000
ligue1,2022,0.1111,1.0000,0.1404
ligue1,2023,0.1250,0.6667,0.3676
ligue1,2024,0.9412,1.0000,0.4706
ligue2,1994,0.6364,,
ligue2,1995,,,0.1818
ligue2,1996,0.6000,0.5000,0.1053
ligue2,1997,0.5490,0.5333,0.8916
ligue2,1998,0.1111,0.6667,0.0702
ligue2,1999,0.7059,1.0000,0.5490
ligue2,2000,0.0588,0.8000,1.0000
ligue2,2001,0.3158,1.0000,0.3158
ligue2,2002,0.9118,1.0000,0.6176
ligue2,2003,0.3070,0.4000,0.2500
ligue2,2004,0.9000,0.6286,0.7034
ligue2,2005,0.6176,0.8000,0.9118
ligue2,2006,0.5556,1.0000,0.5556
ligue2,2007,0.6667,1.0000,0.2924
ligue2,2008,0.2105,1.0000,0.2105
ligue2,2009,0.5895,,
ligue2,2010,0.8706,1.0000,0.6107
ligue2,2011,1.0000,,
ligue2,2012,0.6176,1.0000,0.2500
ligue2,2013,0.1005,0.8000,1.0000
ligue2,2014,,,0.8000
ligue2,2015,0.3333,0.6667,0.2339
ligue2,2022,0.4975,0.8000,1.0000
premierleague,1992,0.5912,0.1429,0.0258
premierleague,1993,0.4912,1.0000,0.1789
premierleague,1994,0.7485,0.8000,0.2579
premierleague,1995,0.1642,1.0000,0.5294
premierleague,1996,0.2327,0.1333,0.1000
premierleague,1997,,,0.4421
premierleague,1998,0.3922,0.3333,0.0784
premierleague,1999,0.2000,,
premierleague,2000,0.9577,0.5000,0.3529
premierleague,2001,0.4421,,
premierleague,2002,0.2500,0.8000,0.7206
premierleague,2003,0.3268,1.0000,0.2614
premierleague,2004,0.4871,0.5000,0.1176
premierleague,2005,1.0000,0.1905,0.3048
premierleague,2006,,,0.6895
premierleague,2007,0.2924,0.6667,0.3333
premierleague,2008,0.5304,0.8000,0.8750
premierleague,2009,0.8421,1.0000,1.0000
premierleague,2010,0.3158,1.0000,0.9474
premierleague,2011,0.9412,1.0000,0.1713
premierleague,2012,0.4706,0.5000,1.0000
premierleague,2013,0.0523,0.6667,1.0000
premierleague,2014,1.0000,1.0000,0.8421
premierleague,2015,0.6667,1.0000,0.8421
premierleague,2017,0.4324,0.4000,0.2441
premierleague,2018,0.2222,0.6667,0.5731
premierleague,2021,1.0000,1.0000,0.6405
premierleague,2022,0.7750,0.3810,0.0762
premierleague,2023,,,0.3789
premierleague,2024,0.2017,0.8571,0.4393
saudiproleague,2014,0.7619,0.1143,0.3524
saudiproleague,2015,0.8636,0.8000,0.5818
saudiproleague,2016,0.3273,0.8000,0.7273
saudiproleague,2017,0.4818,0.8000,0.5818
saudiproleague,2018,1.0000,0.8000,0.3333
saudiproleague,2023,0.8000,0.8000,0.3643
saudiproleague,2024,,,0.8889
seriea,1996,0.5214,0.8000,0.8000
seriea,1997,0.1143,0.4000,0.3643
seriea,1998,0.8167,1.0000,0.9333
seriea,1999,0.7000,1.0000,0.5000
seriea,2000,0.6176,0.6667,0.3750
seriea,2001,0.2500,0.6667,0.0588
seriea,2002,0.2667,0.3333,0.4167
seriea,2003,0.6250,0.6667,0.8235
seriea,2004,0.9412,1.0000,0.7926
seriea,2005,0.1871,0.6667,0.1111
seriea,2006,0.7926,0.5000,0.5882
seriea,2007,0.2105,1.0000,0.2105
seriea,2008,0.0882,0.2000,0.9118
seriea,2009,0.3000,0.7000,0.5912
seriea,2010,0.5556,0.6667,0.2339
seriea,2011,0.6667,1.0000,0.4211
seriea,2012,1.0000,0.3152,0.8252
seriea,2013,0.7579,,
seriea,2014,,,0.3000
seriea,2015,0.6737,,
seriea,2016,0.7980,1.0000,0.7000
seriea,2018,0.7579,,
seriea,2021,0.7778,1.0000,0.2924
seriea,2022,0.6550,1.0000,1.0000
seriea,2023,0.6461,0.5714,0.5363
seriea,2024,0.3789,,
serieb,2002,0.8421,1.0000,0.7778
serieb,2003,0.5059,0.6667,0.9091
serieb,2004,0.5541,,
serieb,2005,0.6605,0.9307,0.5096
serieb,2006,0.7926,1.0000,0.5593
serieb,2007,0.7121,0.2000,0.3591
serieb,2008,,,0.1818
serieb,2009,0.2339,0.8000,0.4789
serieb,2010,0.2597,,
serieb,2011,0.1000,0.6667,0.2857
serieb,2012,0.6857,1.0000,0.8000
serieb,2014,0.8000,1.0000,0.5333
serieb,2015,0.7121,0.7000,0.5593
serieb,2016,,,0.4242
serieb,2017,0.9524,1.0000,0.7619
serieb,2018,,,0.1053
serieb,2021,0.2222,0.6667,0.4211
serieb,2022,0.7320,0.3333,0.9412
serieb,2023,0.4393,1.0000,0.5487
serieb,2024,0.8366,1.0000,0.3922
superlig,2014,0.9529,0.5000,0.2667
superlig,2015,0.4412,0.6667,0.5000
superlig,2023,0.7377,0.8000,0.4412
superlig,2024,0.7485,,
