league_name,season_year,team_canonical,mean_attendance,max_attendance,average_occupancy
2bundesliga,2009,1fckaiserslautern,35398.35,50300,0.70
2bundesliga,2009,1fcunionberlim,14173.88,19000,0.75
2bundesliga,2009,alemanniaaachen,22251.41,32900,0.68
2bundesliga,2009,arminiabielefeld,14782.35,23800,0.62
2bundesliga,2009,fcaugsburg,18328.53,30660,0.60
2bundesliga,2009,fcenergiecottbus,10766.06,15140,0.71
2bundesliga,2009,fchansarostock,14041.18,25000,0.56
2bundesliga,2009,fcstpauli,20890.12,23254,0.90
2bundesliga,2009,fortunadusseldorf95,28007.18,48250,0.58
2bundesliga,2009,fsvfrankfurt,5077.71,9664,0.53
2bundesliga,2009,karlsruhersc,17961.59,28400,0.63
2bundesliga,2009,msvduisburg,14069.71,27371,0.51
2bundesliga,2009,rotweioberhausen,6820.47,14948,0.46
2bundesliga,2009,rotweissahlen,4304.88,6612,0.65
2bundesliga,2009,scpaderborn07,8360.00,15000,0.56
2bundesliga,2009,spvgggreutherfurth,6591.76,15000,0.44
2bundesliga,2009,tsv1860munique,21973.53,37100,0.59
2bundesliga,2009,tuskoblenz,7818.00,15000,0.52
2bundesliga,2010,1fcunionberlim,14183.76,18432,0.77
2bundesliga,2010,alemanniaaachen,18095.53,20071,0.90
2bundesliga,2010,arminiabielefeld,13584.94,24123,0.56
2bundesliga,2010,fcaugsburg,20480.82,30660,0.67
2bundesliga,2010,fcenergiecottbus,11407.41,21350,0.53
2bundesliga,2010,fcerzgebirgeaue,10255.06,15000,0.68
2bundesliga,2010,fcingolstadt04,8078.41,15729,0.51
2bundesliga,2010,fortunadusseldorf95,21287.24,31400,0.68
2bundesliga,2010,fsvfrankfurt,4121.06,7467,0.55
2bundesliga,2010,herthaberlim,46130.65,77116,0.60
2bundesliga,2010,karlsruhersc,14717.82,26822,0.55
2bundesliga,2010,msvduisburg,14163.59,21777,0.65
2bundesliga,2010,rotweioberhausen,5946.88,12161,0.49
2bundesliga,2010,scpaderborn07,8004.53,12710,0.63
