league_name,season_year,canonical_name,other_name,precision_score,is_confident_match
campeonatobrasileiroserieb,2016,oestefc,oeste,83,True
campeonatobrasileiroserieb,2016,paranaclube,parana,71,True
campeonatobrasileiroserieb,2016,paysandusc,paysandu,89,True
campeonatobrasileiroserieb,2016,sampaiocorreafc,sampaiocorrea,93,True
campeonatobrasileiroserieb,2016,tupifc,tupi,80,True
campeonatobrasileiroserieb,2016,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2017,abcfc,abc,75,True
campeonatobrasileiroserieb,2017,americamineiro,americamg,70,True
campeonatobrasileiroserieb,2017,boaec,boaesporte,53,False
campeonatobrasileiroserieb,2017,cearasc,ceara,83,True
campeonatobrasileiroserieb,2017,crb,crb,100,True
campeonatobrasileiroserieb,2017,criciumaec,criciuma,89,True
campeonatobrasileiroserieb,2017,ecjuventude,juventude,90,True
campeonatobrasileiroserieb,2017,figueirensefc,figueirense,92,True
campeonatobrasileiroserieb,2017,gebrasil,brasilpelotas,57,False
campeonatobrasileiroserieb,2017,goiasec,goias,83,True
campeonatobrasileiroserieb,2017,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2017,londrinaec,londrina,89,True
campeonatobrasileiroserieb,2017,luverdenseec,luverdense,91,True
campeonatobrasileiroserieb,2017,nautico,nautico,100,True
campeonatobrasileiroserieb,2017,oestefc,oeste,83,True
campeonatobrasileiroserieb,2017,paranaclube,parana,71,True
campeonatobrasileiroserieb,2017,paysandusc,paysandu,89,True
campeonatobrasileiroserieb,2017,santacruzfc,santacruz,90,True
campeonatobrasileiroserieb,2017,scinternacional,internacional,93,True
campeonatobrasileiroserieb,2017,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2018,atleticogoianiense,atleticogo,101,True
campeonatobrasileiroserieb,2018,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2018,avaifc,avai,80,True
campeonatobrasileiroserieb,2018,boaec,boaesporte,53,False
campeonatobrasileiroserieb,2018,coritibafc,coritiba,89,True
campeonatobrasileiroserieb,2018,crb,crb,100,True
campeonatobrasileiroserieb,2018,criciumaec,criciuma,89,True
campeonatobrasileiroserieb,2018,csa,csa,100,True
campeonatobrasileiroserieb,2018,ecjuventude,juventude,90,True
campeonatobrasileiroserieb,2018,ecsaobento,saobento,89,True
campeonatobrasileiroserieb,2018,figueirensefc,figueirense,92,True
campeonatobrasileiroserieb,2018,fortalezaec,fortaleza,90,True
campeonatobrasileiroserieb,2018,gebrasil,brasilpelotas,57,False
campeonatobrasileiroserieb,2018,goiasec,goias,83,True
campeonatobrasileiroserieb,2018,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2018,londrinaec,londrina,89,True
campeonatobrasileiroserieb,2018,oestefc,oeste,83,True
campeonatobrasileiroserieb,2018,paysandusc,paysandu,89,True
campeonatobrasileiroserieb,2018,sampaiocorreafc,sampaiocorrea,93,True
campeonatobrasileiroserieb,2018,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2019,atleticogoianiense,atleticogo,101,True
campeonatobrasileiroserieb,2019,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2019,americamineiro,americamg,70,True
campeonatobrasileiroserieb,2019,botafogofc,botafogosp,80,True
campeonatobrasileiroserieb,2019,cabragantino,bragantino,91,True
campeonatobrasileiroserieb,2019,coritibafc,coritiba,89,True
campeonatobrasileiroserieb,2019,crb,crb,100,True
campeonatobrasileiroserieb,2019,criciumaec,criciuma,89,True
campeonatobrasileiroserieb,2019,cuiabaec,cuiaba,86,True
campeonatobrasileiroserieb,2019,ecsaobento,saobento,89,True
campeonatobrasileiroserieb,2019,ecvitoria,vitoria,88,True
campeonatobrasileiroserieb,2019,figueirensefc,figueirense,92,True
campeonatobrasileiroserieb,2019,gebrasil,brasilpelotas,57,False
campeonatobrasileiroserieb,2019,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2019,londrinaec,londrina,89,True
campeonatobrasileiroserieb,2019,oestefc,oeste,83,True
campeonatobrasileiroserieb,2019,operariofec,operariopr,76,True
campeonatobrasileiroserieb,2019,paranaclube,parana,71,True
campeonatobrasileiroserieb,2019,sportrecife,sport,62,False
campeonatobrasileiroserieb,2019,vilanovafc,vilanova,89,True
campeonatobrasileiroserieb,2020,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2020,adconfianca,confianca,90,True
campeonatobrasileiroserieb,2020,americamineiro,americamg,70,True
campeonatobrasileiroserieb,2020,avaifc,avai,80,True
campeonatobrasileiroserieb,2020,botafogofc,botafogosp,80,True
campeonatobrasileiroserieb,2020,chapecoense,chapecoense,100,True
campeonatobrasileiroserieb,2020,crb,crb,100,True
campeonatobrasileiroserieb,2020,cruzeiroec,cruzeiro,89,True
campeonatobrasileiroserieb,2020,csa,csa,100,True
campeonatobrasileiroserieb,2020,cuiabaec,cuiaba,86,True
campeonatobrasileiroserieb,2020,ecjuventude,juventude,90,True
campeonatobrasileiroserieb,2020,ecvitoria,vitoria,88,True
campeonatobrasileiroserieb,2020,figueirensefc,figueirense,92,True
campeonatobrasileiroserieb,2020,gebrasil,brasilpelotas,57,False
campeonatobrasileiroserieb,2020,guaranifc,guarani,88,True
campeonatobrasileiroserieb,2020,nautico,nautico,100,True
campeonatobrasileiroserieb,2020,oestefc,oeste,83,True
campeonatobrasileiroserieb,2020,operariofec,operariopr,76,True
campeonatobrasileiroserieb,2020,paranaclube,parana,71,True
campeonatobrasileiroserieb,2020,sampaiocorreafc,sampaiocorrea,93,True
campeonatobrasileiroserieb,2021,aapontepreta,pontepreta,91,True
campeonatobrasileiroserieb,2021,adconfianca,confianca,90,True
campeonatobrasileiroserieb,2021,avaifc,avai,80,True
campeonatobrasileiroserieb,2021,botafogofr,botafogo,89,True
campeonatobrasileiroserieb,2021,brusquefc,brusque,88,True
campeonatobrasileiroserieb,2021,clubedoremo,remo,53,False
campeonatobrasileiroserieb,2021,coritibafc,coritiba,89,True
campeonatobrasileiroserieb,2021,crb,crb,100,True
campeonatobrasileiroserieb,2021,cruzeiroec,cruzeiro,89,True
campeonatobrasileiroserieb,2021,crvascodagama,vascodagama,92,True
campeonatobrasileiroserieb,2021,csa,csa,100,True
campeonatobrasileiroserieb,2021,ecvitoria,vitoria,88,True
campeonatobrasileiroserieb,2021,gebrasil,brasilpelotas,57,False
campeonatobrasileiroserieb,2021,goiasec,goias,83,True
campeonatobrasileiroserieb,2021,guaranifc,guarani,88,True
