league_name,season_year,total_tests,significant_tests,G_type_0.200_balanced,G_type_0.200_unbalanced_strong,G_type_0.200_unbalanced_weak,G_type_0.250_balanced,G_type_0.250_unbalanced_strong,G_type_0.250_unbalanced_weak,G_type_0.300_balanced,G_type_0.300_unbalanced_strong,G_type_0.300_unbalanced_weak,G_type_0.350_balanced,G_type_0.350_unbalanced_strong,G_type_0.350_unbalanced_weak,G_type_0.400_balanced,G_type_0.400_unbalanced_strong,G_type_0.400_unbalanced_weak
ligue2,2014,20,0,14,2,4,17,1,2,19,1,0,19,1,0,19,1,0
ligue2,2015,20,1,12,4,4,15,3,2,17,2,1,17,2,1,18,2,0
ligue2,2022,20,0,7,6,7,14,2,4,15,2,3,17,2,1,20,0,0
ligue2,all_seasons,468,22,268,93,107,335,62,71,383,41,44,410,28,30,432,17,19
premierleague,1992,22,1,10,6,6,12,6,4,14,5,3,18,2,2,20,1,1
premierleague,1993,22,2,13,4,5,15,3,4,17,3,2,17,3,2,19,2,1
premierleague,1994,22,3,13,4,5,15,4,3,17,3,2,18,3,1,19,2,1
premierleague,1995,20,2,9,7,4,12,4,4,15,2,3,16,2,2,17,1,2
premierleague,1996,20,2,8,6,6,11,5,4,14,2,4,15,2,3,16,1,3
premierleague,1997,20,1,14,4,2,15,4,1,18,2,0,18,2,0,18,2,0
premierleague,1998,20,0,12,3,5,13,3,4,16,2,2,17,1,2,19,0,1
premierleague,1999,20,1,13,4,3,17,1,2,19,0,1,19,0,1,19,0,1
premierleague,2000,20,1,9,6,5,14,2,4,16,1,3,16,1,3,17,1,2
premierleague,2001,20,1,14,1,5,14,1,5,18,0,2,18,0,2,18,0,2
premierleague,2002,20,2,13,4,3,14,3,3,15,2,3,16,1,3,17,1,2
premierleague,2003,20,1,14,3,3,15,2,3,16,2,2,18,0,2,19,0,1
premierleague,2004,20,1,13,4,3,16,1,3,16,1,3,16,1,3,16,1,3
premierleague,2005,20,3,10,5,5,11,4,5,13,2,5,15,1,4,17,0,3
premierleague,2006,20,0,13,4,3,14,4,2,17,3,0,17,3,0,19,1,0
premierleague,2007,20,0,15,2,3,15,2,3,17,1,2,18,1,1,19,0,1
premierleague,2008,20,1,14,2,4,15,1,4,15,1,4,16,1,3,19,1,0
premierleague,2009,20,0,16,2,2,16,2,2,17,1,2,17,1,2,19,1,0
premierleague,2010,20,0,12,4,4,14,2,4,18,1,1,18,1,1,19,1,0
premierleague,2011,20,1,11,4,5,14,3,3,16,3,1,18,1,1,19,1,0
premierleague,2012,20,2,13,3,4,14,3,3,16,3,1,17,2,1,17,2,1
premierleague,2013,20,0,13,3,4,15,2,3,16,2,2,18,2,0,18,2,0
premierleague,2014,20,0,14,3,3,16,2,2,18,1,1,19,0,1,19,0,1
premierleague,2015,20,0,15,3,2,16,3,1,17,2,1,19,0,1,20,0,0
premierleague,2016,20,0,17,1,2,20,0,0,20,0,0,20,0,0,20,0,0
premierleague,2017,20,4,12,4,4,14,3,3,14,3,3,15,3,2,16,3,1
premierleague,2018,20,1,9,6,5,12,4,4,17,2,1,17,2,1,19,1,0
premierleague,2021,20,3,11,4,5,12,3,5,16,2,2,17,1,2,17,1,2
premierleague,2022,20,1,7,6,7,9,6,5,13,2,5,18,0,2,18,0,2
premierleague,2023,20,0,13,4,3,14,3,3,18,2,0,20,0,0,20,0,0
premierleague,2024,20,1,12,3,5,12,3,5,13,3,4,16,2,2,18,1,1
premierleague,all_seasons,626,35,382,119,125,436,89,101,502,59,65,537,39,50,567,27,32
saudiproleague,2014,14,3,5,4,5,6,4,4,6,4,4,6,4,4,8,3,3
saudiproleague,2015,14,1,7,3,4,9,2,3,9,2,3,11,1,2,11,1,2
saudiproleague,2016,14,0,8,3,3,8,3,3,9,3,2,9,3,2,10,2,2
saudiproleague,2017,14,0,7,4,3,8,3,3,9,2,3,11,1,2,12,1,1
saudiproleague,2018,16,0,7,4,5,10,2,4,11,1,4,14,0,2,15,0,1
saudiproleague,2023,18,0,11,4,3,12,3,3,13,3,2,16,2,0,18,0,0
saudiproleague,2024,18,0,16,1,1,17,1,0,17,1,0,17,1,0,17,1,0
saudiproleague,all_seasons,108,4,61,23,24,70,18,20,74,16,18,84,12,12,91,8,9
seriea,1996,18,2,8,4,6,10,4,4,13,2,3,13,2,3,14,2,2
seriea,1997,18,0,12,3,3,13,3,2,13,3,2,15,2,1,17,1,0
seriea,1998,18,1,10,4,4,11,4,3,14,2,2,14,2,2,15,2,1
seriea,1999,18,0,13,2,3,14,2,2,14,2,2,16,1,1,16,1,1
seriea,2000,18,0,13,2,3,15,1,2,15,1,2,17,1,0,17,1,0
seriea,2001,18,0,10,4,4,13,3,2,15,2,1,18,0,0,18,0,0
seriea,2002,18,2,11,3,4,13,2,3,14,2,2,15,2,1,15,2,1
seriea,2003,18,0,12,3,3,13,3,2,15,2,1,16,1,1,18,0,0
seriea,2004,20,1,13,4,3,16,3,1,16,3,1,17,2,1,19,0,1
seriea,2005,20,1,13,5,2,14,4,2,17,1,2,18,0,2,19,0,1
seriea,2006,20,2,12,4,4,15,2,3,16,1,3,16,1,3,18,0,2
seriea,2007,20,0,11,5,4,16,2,2,18,1,1,19,1,0,19,1,0
seriea,2008,20,5,10,4,6,14,3,3,15,3,2,15,3,2,15,3,2
seriea,2009,20,2,13,3,4,13,3,4,14,3,3,15,2,3,17,2,1
seriea,2010,20,0,11,5,4,11,5,4,17,2,1,18,1,1,20,0,0
seriea,2011,20,1,9,6,5,15,2,3,17,2,1,17,2,1,18,1,1
seriea,2012,20,2,4,8,8,8,5,7,9,4,7,13,4,3,13,4,3
seriea,2013,20,0,16,2,2,17,1,2,18,0,2,20,0,0,20,0,0
seriea,2014,20,0,14,1,5,17,1,2,19,1,0,19,1,0,19,1,0
seriea,2015,20,0,13,5,2,14,4,2,18,0,2,19,0,1,19,0,1
seriea,2016,20,1,11,4,5,12,3,5,14,2,4,17,2,1,19,1,0
seriea,2017,20,0,13,3,4,16,1,3,20,0,0,20,0,0,20,0,0
seriea,2018,20,0,13,3,4,16,2,2,18,0,2,18,0,2,19,0,1
seriea,2021,20,0,14,3,3,16,2,2,17,2,1,17,2,1,19,1,0
seriea,2022,20,0,13,4,3,15,3,2,17,1,2,19,0,1,20,0,0
seriea,2023,20,2,11,3,6,12,3,5,12,3,5,16,2,2,17,2,1
seriea,2024,20,1,14,3,3,17,0,3,18,0,2,19,0,1,19,0,1
seriea,all_seasons,524,23,317,100,107,376,71,77,423,45,56,456,34,34,479,25,20
serieb,2002,20,0,13,4,3,17,1,2,17,1,2,18,1,1,20,0,0
serieb,2003,24,0,14,5,5,21,1,2,21,1,2,22,0,2,24,0,0
serieb,2004,22,0,13,5,4,18,1,3,20,0,2,22,0,0,22,0,0
serieb,2005,22,4,7,7,8,11,5,6,11,5,6,13,5,4,16,3,3
serieb,2006,22,4,10,7,5,14,3,5,16,3,3,17,2,3,18,2,2
serieb,2007,22,3,13,4,5,14,4,4,16,3,3,19,2,1,19,2,1
serieb,2008,22,0,20,1,1,21,1,0,21,1,0,22,0,0,22,0,0
serieb,2009,22,4,15,4,3,16,3,3,17,3,2,17,3,2,18,2,2
serieb,2010,22,0,13,4,5,18,2,2,20,0,2,22,0,0,22,0,0
serieb,2011,22,1,16,3,3,18,2,2,19,2,1,21,1,0,21,1,0
serieb,2012,22,0,17,3,2,19,1,2,19,1,2,21,1,0,22,0,0
serieb,2013,22,0,16,4,2,21,0,1,22,0,0,22,0,0,22,0,0
serieb,2014,22,0,16,4,2,17,3,2,19,2,1,20,1,1,20,1,1
serieb,2015,22,2,15,4,3,16,3,3,16,3,3,18,2,2,19,2,1
serieb,2016,22,0,16,4,2,18,2,2,20,2,0,20,2,0,22,0,0
serieb,2017,22,1,17,2,3,19,1,2,20,1,1,21,0,1,21,0,1
serieb,2018,19,0,15,3,1,17,1,1,18,1,0,19,0,0,19,0,0
serieb,2021,20,1,13,4,3,15,3,2,17,2,1,17,2,1,18,2,0
serieb,2022,20,0,11,4,5,14,3,3,16,2,2,18,1,1,20,0,0
serieb,2023,20,3,11,6,3,13,4,3,13,4,3,14,3,3,15,2,3
serieb,2024,20,2,12,3,5,12,3,5,16,2,2,16,2,2,17,1,2
serieb,all_seasons,451,25,293,85,73,349,47,55,374,39,38,399,28,24,417,18,16
superlig,2014,18,1,8,4,6,12,2,4,14,1,3,15,1,2,15,1,2
superlig,2015,18,0,12,3,3,15,1,2,15,1,2,16,1,1,18,0,0
superlig,2021,20,0,12,4,4,16,1,3,20,0,0,20,0,0,20,0,0
superlig,2023,20,0,11,5,4,15,2,3,15,2,3,19,0,1,20,0,0
superlig,2024,19,0,13,3,3,16,1,2,17,0,2,19,0,0,19,0,0
superlig,all_seasons,95,1,56,19,20,74,7,14,81,4,10,89,2,4,92,1,2
